Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Xgboost,0.9815,0.6962025316455697,0.8088235294117647,0.7482993197278912,0.9797908293752283
Random Forest,0.973,0.5714285714285714,0.8235294117647058,0.6746987951807228,0.9756119839240045
Decision Tree,0.9625,0.47058823529411764,0.8235294117647058,0.5989304812834224,0.8954603580562659
Svm,0.937,0.3352272727272727,0.8676470588235294,0.48360655737704916,0.9733360735598587
Knn,0.943,0.3357142857142857,0.6911764705882353,0.4519230769230769,0.8586233406406041
Logistic Regression,0.866,0.1875,0.8823529411764706,0.30927835051546393,0.9344553038606747
